date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
2/20/2014,2,Raytown Success Academy,Raytown,MO,1,0,0,0,0,1,0,0,0,http://www.kctv5.com/story/24776605/raytown-schools-impose-districtwide-lockdown
2/21/2014,10,Eastland Mall,Columbus,OH,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Eastland+Mall+Columbus/@39.919162,-82.8828489,17z/data=!3m1!4b1!4m2!3m1!1s0x88387d37898372d7:0xbc059e438a989e9e"
2/23/2014,9,Fisher's Auto Body Inc.,Las Vegas,NV,1,2,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Fischer's+Auto+Body+Inc/@36.149359,-115.164411,17z/data=!3m1!4b1!4m2!3m1!1s0x80c8c38b463b2ed3:0xcd46e1cede6c2580"
2/24/2014,6,Oheka Castle,Suffolk County,NY,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/135+Westgate+Dr/@41.7646335,-88.3529273,17z/data=!3m1!4b1!4m2!3m1!1s0x880ee56dfa751623:0xdd989c20872b85e6"
2/28/2014,2,Tax City,Detroit,MI,0,4,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Tax+City/@42.375651,-83.017191,17z/data=!3m1!4b1!4m2!3m1!1s0x8824d30afc777987:0x95f2a1a8603ac29"
2/28/2014,4,Brevard County Court,Melbourne,FL,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Brevard+County+Court+Judge/@28.276551,-80.707937,11z/data=!4m5!1m2!2m1!1sMoore+Justice+Center,+Nieman+Avenue,+Melbourne,+FL!3m1!1s0x88de11d9ff8c33b5:0x5feebb985015d9e7"
3/2/2014,4,County Sheriff's Office,Iberia,LA,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Iberia+Parish+Sheriff's+Office/@29.9306723,-91.6076959,10z/data=!4m5!1m2!2m1!1sIberia+County+Sheriff's+Office+in+Iberia,+LA!3m1! "
3/2/2014,1,McDaniel College,Westminster,MD,0,0,1,0,0,0,0,0,0,"https://www.google.com/maps/place/McDaniel+College/@39.5857003,-77.0038701,16z/data=!3m1!4b1!4m2!3m1!1s0x89c847fb68a37d7b:0x9e26293117fcc6ca"
3/4/2014,10,Mardi Gras World,New Orleans,LA,2,0,0,0,0,2,0,0,0,"https://www.google.com/maps/place/Mardi+Gras+World/@29.934693,-90.061581,17z/data=!3m2!4b1!5s0x8620a6640db92da9:0xfa90f0978d74c540!4m2!3m1!1s0x8620a64181b08e5f:0xee3fbf607518e3c5"
3/4/2014,10,Mardi Gras World,New Orleans,LA,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Mardi+Gras+World/@29.934693,-90.061581,17z/data=!3m2!4b1!5s0x8620a6640db92da9:0xfa90f0978d74c540!4m2!3m1!1s0x8620a64181b08e5f:0xee3fbf607518e3c5"
